,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
17,time_series_strategy,cpd_frequency_delta3,"[28, 44, 89, 95, 136]","[44, 90, 136]",0.67,5.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
18,time_series_strategy,cpd_prob_freq_delta1,"[44, 88, 136]","[44, 90, 136]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
19,time_series_strategy,cpd_prob_freq_delta3,"[43, 47, 89, 136]","[44, 90, 136]",0.8,1.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
20,time_series_strategy,cramersv_frequency1,"[44, 62, 73, 77, 88, 136]","[44, 90, 136]",0.57,10.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
21,time_series_strategy,cramersv_frequency3,"[44, 48, 64, 74, 78, 90, 136]","[44, 90, 136]",0.5,8.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
22,threshold_strategy,gtest_frequency1,"[45, 88, 136]","[44, 90, 136]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
23,threshold_strategy,gtest_frequency3,"[45, 88, 136]","[44, 90, 136]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalMove\output\ConditionalMove_5.mxml.gz,Size1/ConditionalMove_5,5,Fixed,2000,Fixed,True,500,3,8
24,time_series_strategy,cpd_frequency_delta1,"[9, 15, 37, 48, 77, 120]","[38, 79, 120]",0.57,13.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
25,time_series_strategy,cpd_frequency_delta3,"[9, 16, 38, 49, 78, 120]","[38, 79, 120]",0.57,12.6,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
26,time_series_strategy,cpd_prob_freq_delta1,"[9, 14, 36, 40, 74, 78, 120]","[38, 79, 120]",0.5,10.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
27,time_series_strategy,cpd_prob_freq_delta3,"[10, 16, 36, 40, 74, 78, 120]","[38, 79, 120]",0.5,10.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
28,time_series_strategy,cramersv_frequency1,"[36, 48, 76, 120]","[38, 79, 120]",0.8,5.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
29,time_series_strategy,cramersv_frequency3,"[37, 49, 78, 120]","[38, 79, 120]",0.8,4.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
30,threshold_strategy,gtest_frequency1,"[37, 76, 120]","[38, 79, 120]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
31,threshold_strategy,gtest_frequency3,"[37, 76, 120]","[38, 79, 120]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval.mxml.gz,Size1/ConditionalRemoval,0,Fixed,2000,Fixed,True,500,3,8
32,time_series_strategy,cpd_frequency_delta1,"[9, 15, 37, 49, 80, 123]","[39, 81, 123]",0.57,13.4,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
33,time_series_strategy,cpd_frequency_delta3,"[10, 16, 38, 50, 80, 123]","[39, 81, 123]",0.57,13.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
34,time_series_strategy,cpd_prob_freq_delta1,"[39, 75, 79, 123]","[39, 81, 123]",0.8,2.67,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
35,time_series_strategy,cpd_prob_freq_delta3,"[40, 76, 80, 123]","[39, 81, 123]",0.8,2.33,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
36,time_series_strategy,cramersv_frequency1,[123],"[39, 81, 123]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
37,time_series_strategy,cramersv_frequency3,[123],"[39, 81, 123]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
38,threshold_strategy,gtest_frequency1,[123],"[39, 81, 123]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
39,threshold_strategy,gtest_frequency3,[123],"[39, 81, 123]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_2.mxml.gz,Size1/ConditionalRemoval_2,2,Fixed,2000,Fixed,True,500,3,8
40,time_series_strategy,cpd_frequency_delta1,"[9, 16, 38, 81, 125]","[40, 82, 125]",0.67,14.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
41,time_series_strategy,cpd_frequency_delta3,"[10, 16, 39, 82, 125]","[40, 82, 125]",0.67,13.75,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
42,time_series_strategy,cpd_prob_freq_delta1,"[40, 78, 125]","[40, 82, 125]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
43,time_series_strategy,cpd_prob_freq_delta3,"[41, 79, 125]","[40, 82, 125]",1.0,2.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
44,time_series_strategy,cramersv_frequency1,[125],"[40, 82, 125]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
45,time_series_strategy,cramersv_frequency3,[125],"[40, 82, 125]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
46,threshold_strategy,gtest_frequency1,[125],"[40, 82, 125]",0.0,,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size1\Atomic\ConditionalRemoval\output\ConditionalRemoval_5.mxml.gz,Size1/ConditionalRemoval_5,5,Fixed,2000,Fixed,True,500,3,8
