,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,log_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
16,time_series_strategy,cpd_frequency_delta1,"[35, 54, 62, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.5,1.0,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
17,time_series_strategy,cpd_frequency_delta3,"[8, 15, 22, 28, 34, 55, 63, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.88,1.71,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
18,time_series_strategy,cpd_prob_freq_delta1,"[6, 13, 20, 27, 33, 40, 42, 51, 54, 62, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.84,0.7,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
19,time_series_strategy,cpd_prob_freq_delta3,"[7, 15, 22, 27, 34, 41, 56, 63, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.94,1.5,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
20,threshold_strategy,gtest_frequency1,"[8, 11, 12, 13, 22, 26, 34, 35, 36, 40, 48, 50, 51, 54, 63, 64, 65, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.69,1.71,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
21,threshold_strategy,gtest_frequency3,"[8, 13, 22, 26, 36, 40, 51, 54, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.82,1.25,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
22,threshold_strategy,fixed_frequency_delta_percentage1,"[2, 4, 6, 15, 16, 17, 18, 19, 20, 29, 30, 46, 47, 55, 56, 59, 60, 67]","[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.62,1.76,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
23,threshold_strategy,fixed_frequency_delta_percentage3,[67],"[6, 13, 20, 26, 33, 40, 47, 54, 61, 67]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cb\cb7.5k.mxml,cb,7500,Fixed,1000,Fixed,False,0,3,4
24,time_series_strategy,cpd_frequency_delta1,"[9, 19, 28, 37, 46, 56, 65, 75, 84, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
25,time_series_strategy,cpd_frequency_delta3,"[10, 20, 29, 38, 47, 57, 66, 76, 85, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
26,time_series_strategy,cpd_prob_freq_delta1,"[10, 19, 28, 37, 47, 56, 65, 75, 84, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,0.78,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
27,time_series_strategy,cpd_prob_freq_delta3,"[10, 20, 29, 38, 48, 57, 66, 75, 86, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,1.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
28,threshold_strategy,gtest_frequency1,"[9, 19, 28, 37, 46, 56, 65, 75, 84, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
29,threshold_strategy,gtest_frequency3,"[9, 19, 28, 37, 46, 56, 65, 75, 84, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
30,threshold_strategy,fixed_frequency_delta_percentage1,"[1, 3, 4, 20, 21, 40, 41, 56, 57, 82, 83, 93]","[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",0.4,3.18,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
31,threshold_strategy,fixed_frequency_delta_percentage3,[93],"[9, 18, 27, 37, 46, 55, 65, 74, 83, 93]",0.0,,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd10k.mxml,cd,10000,Fixed,1000,Fixed,False,0,3,4
32,time_series_strategy,cpd_frequency_delta1,"[5, 9, 14, 19, 21, 23, 28, 33, 38, 42, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",0.95,0.6,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
33,time_series_strategy,cpd_frequency_delta3,"[5, 10, 15, 20, 25, 29, 34, 39, 43, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",1.0,1.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
34,time_series_strategy,cpd_prob_freq_delta1,"[5, 9, 14, 19, 24, 28, 33, 37, 42, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
35,time_series_strategy,cpd_prob_freq_delta3,"[6, 10, 15, 20, 25, 29, 34, 38, 43, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",1.0,1.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
36,threshold_strategy,gtest_frequency1,"[5, 9, 14, 19, 24, 28, 33, 37, 42, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
37,threshold_strategy,gtest_frequency3,"[5, 9, 14, 19, 24, 28, 33, 37, 42, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",1.0,0.44,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
38,threshold_strategy,fixed_frequency_delta_percentage1,"[1, 10, 13, 21, 22, 29, 30, 38, 39, 41, 42, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",0.8,1.36,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
39,threshold_strategy,fixed_frequency_delta_percentage3,"[10, 13, 46]","[4, 9, 14, 18, 23, 28, 32, 37, 42, 46]",0.36,1.0,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd5k.MXML,cd,5000,Fixed,1000,Fixed,False,0,3,4
40,time_series_strategy,cpd_frequency_delta1,"[7, 17, 24, 35, 42, 52, 59, 70, 77, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
41,time_series_strategy,cpd_frequency_delta3,"[8, 18, 25, 36, 43, 53, 61, 71, 78, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,1.67,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
42,time_series_strategy,cpd_prob_freq_delta1,"[7, 17, 25, 34, 42, 52, 60, 69, 77, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,0.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
43,time_series_strategy,cpd_prob_freq_delta3,"[8, 18, 26, 35, 43, 53, 61, 70, 78, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,1.56,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
44,threshold_strategy,gtest_frequency1,"[7, 18, 24, 35, 42, 53, 59, 70, 77, 87]","[6, 17, 24, 34, 41, 52, 59, 69, 76, 87]",1.0,0.78,../Input/Synthetic/Business Process Drift - (Maaradji - Fast)/logs\cd\cd7.5k.MXML,cd,7500,Fixed,1000,Fixed,False,0,3,4
