,detection_strategy,detection_feature,detection_results,ground_truth,f1,delay,log_path,tipo_mudanca,noise_size,window_size_mode,window_size,window_ref_mode,overlap,sliding_step,margin_error,margin_error_corrected
183,time_series_strategy,cpd_frequency_delta3,"[15, 31, 46]","[14, 31, 46]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Substitute\output\Substitute.mxml.gz,Size3/Substitute,0,Fixed,4000,Fixed,True,2000,3,6
184,time_series_strategy,cpd_frequency_delta3,"[15, 32, 47]","[14, 31, 47]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Substitute\output\Substitute_2.mxml.gz,Size3/Substitute_2,2,Fixed,4000,Fixed,True,2000,3,6
185,time_series_strategy,cpd_frequency_delta3,"[15, 33, 48]","[15, 32, 48]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Substitute\output\Substitute_5.mxml.gz,Size3/Substitute_5,5,Fixed,4000,Fixed,True,2000,3,6
186,time_series_strategy,cpd_frequency_delta3,"[15, 32, 47]","[15, 31, 47]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Swap\output\Swap.mxml.gz,Size3/Swap,0,Fixed,4000,Fixed,True,2000,3,6
187,time_series_strategy,cpd_frequency_delta3,"[16, 32, 48]","[15, 31, 48]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Swap\output\Swap_2.mxml.gz,Size3/Swap_2,2,Fixed,4000,Fixed,True,2000,3,6
188,time_series_strategy,cpd_frequency_delta3,"[16, 33, 49]","[15, 32, 49]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Atomic\Swap\output\Swap_5.mxml.gz,Size3/Swap_5,5,Fixed,4000,Fixed,True,2000,3,6
189,time_series_strategy,cpd_frequency_delta3,"[15, 30, 44]","[14, 29, 44]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IOR\output\IOR.mxml.gz,Size3/IOR,0,Fixed,4000,Fixed,True,2000,3,6
190,time_series_strategy,cpd_frequency_delta3,"[15, 30, 45]","[14, 29, 45]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IOR\output\IOR_2.mxml.gz,Size3/IOR_2,2,Fixed,4000,Fixed,True,2000,3,6
191,time_series_strategy,cpd_frequency_delta3,"[15, 31, 46]","[14, 30, 46]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IOR\output\IOR_5.mxml.gz,Size3/IOR_5,5,Fixed,4000,Fixed,True,2000,3,6
192,time_series_strategy,cpd_frequency_delta3,"[15, 34, 48]","[14, 32, 48]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IRO\output\IRO.mxml.gz,Size3/IRO,0,Fixed,4000,Fixed,True,2000,3,6
193,time_series_strategy,cpd_frequency_delta3,"[15, 34, 49]","[15, 33, 49]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IRO\output\IRO_2.mxml.gz,Size3/IRO_2,2,Fixed,4000,Fixed,True,2000,3,6
194,time_series_strategy,cpd_frequency_delta3,"[16, 35, 50]","[15, 34, 50]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\IRO\output\IRO_5.mxml.gz,Size3/IRO_5,5,Fixed,4000,Fixed,True,2000,3,6
195,time_series_strategy,cpd_frequency_delta3,"[15, 31, 45]","[14, 30, 45]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\OIR\output\OIR.mxml.gz,Size3/OIR,0,Fixed,4000,Fixed,True,2000,3,6
196,time_series_strategy,cpd_frequency_delta3,"[15, 32, 46]","[14, 31, 46]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\OIR\output\OIR_2.mxml.gz,Size3/OIR_2,2,Fixed,4000,Fixed,True,2000,3,6
197,time_series_strategy,cpd_frequency_delta3,"[15, 33, 47]","[14, 32, 47]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\OIR\output\OIR_5.mxml.gz,Size3/OIR_5,5,Fixed,4000,Fixed,True,2000,3,6
198,time_series_strategy,cpd_frequency_delta3,"[19, 42, 63]","[19, 42, 63]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ORI\output\ORI.mxml.gz,Size3/ORI,0,Fixed,4000,Fixed,True,2000,3,6
199,time_series_strategy,cpd_frequency_delta3,"[20, 43, 65]","[20, 43, 65]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ORI\output\ORI_2.mxml.gz,Size3/ORI_2,2,Fixed,4000,Fixed,True,2000,3,6
200,time_series_strategy,cpd_frequency_delta3,"[20, 44, 66]","[20, 44, 66]",1.0,0.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ORI\output\ORI_5.mxml.gz,Size3/ORI_5,5,Fixed,4000,Fixed,True,2000,3,6
201,time_series_strategy,cpd_frequency_delta3,"[16, 34, 48]","[15, 33, 48]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\RIO\output\RIO.mxml.gz,Size3/RIO,0,Fixed,4000,Fixed,True,2000,3,6
202,time_series_strategy,cpd_frequency_delta3,"[16, 35, 49]","[15, 33, 49]",1.0,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\RIO\output\RIO_2.mxml.gz,Size3/RIO_2,2,Fixed,4000,Fixed,True,2000,3,6
203,time_series_strategy,cpd_frequency_delta3,"[16, 35, 51]","[15, 34, 51]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\RIO\output\RIO_5.mxml.gz,Size3/RIO_5,5,Fixed,4000,Fixed,True,2000,3,6
204,time_series_strategy,cpd_frequency_delta3,"[16, 33, 48]","[15, 32, 48]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ROI\output\ROI.mxml.gz,Size3/ROI,0,Fixed,4000,Fixed,True,2000,3,6
205,time_series_strategy,cpd_frequency_delta3,"[16, 33, 49]","[15, 32, 49]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ROI\output\ROI_2.mxml.gz,Size3/ROI_2,2,Fixed,4000,Fixed,True,2000,3,6
206,time_series_strategy,cpd_frequency_delta3,"[16, 34, 50]","[16, 33, 50]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Composite\ROI\output\ROI_5.mxml.gz,Size3/ROI_5,5,Fixed,4000,Fixed,True,2000,3,6
207,time_series_strategy,cpd_frequency_delta3,"[21, 44, 67]","[21, 45, 67]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IOR\output\IOR.mxml.gz,Size3/IOR,0,Fixed,4000,Fixed,True,2000,3,6
208,time_series_strategy,cpd_frequency_delta3,"[19, 22, 40, 46, 69]","[21, 46, 69]",0.67,2.25,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IOR\output\IOR_2.mxml.gz,Size3/IOR_2,2,Fixed,4000,Fixed,True,2000,3,6
209,time_series_strategy,cpd_frequency_delta3,"[21, 47, 70]","[22, 47, 70]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IOR\output\IOR_5.mxml.gz,Size3/IOR_5,5,Fixed,4000,Fixed,True,2000,3,6
210,time_series_strategy,cpd_frequency_delta3,"[22, 24, 44, 46, 70]","[23, 46, 70]",0.67,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IRO\output\IRO.mxml.gz,Size3/IRO,0,Fixed,4000,Fixed,True,2000,3,6
211,time_series_strategy,cpd_frequency_delta3,"[22, 25, 45, 48, 72]","[24, 47, 72]",0.67,1.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IRO\output\IRO_2.mxml.gz,Size3/IRO_2,2,Fixed,4000,Fixed,True,2000,3,6
212,time_series_strategy,cpd_frequency_delta3,"[24, 47, 73]","[24, 48, 73]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\IRO\output\IRO_5.mxml.gz,Size3/IRO_5,5,Fixed,4000,Fixed,True,2000,3,6
213,time_series_strategy,cpd_frequency_delta3,"[16, 33, 49]","[15, 32, 49]",1.0,1.0,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\OIR\output\OIR.mxml.gz,Size3/OIR,0,Fixed,4000,Fixed,True,2000,3,6
214,time_series_strategy,cpd_frequency_delta3,"[16, 34, 50]","[16, 33, 50]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\OIR\output\OIR_2.mxml.gz,Size3/OIR_2,2,Fixed,4000,Fixed,True,2000,3,6
215,time_series_strategy,cpd_frequency_delta3,"[16, 35, 51]","[16, 34, 51]",1.0,0.5,../Input/Synthetic/CPN_Logs_Characterization_Ext/FragmentChange\Size3\Nested\OIR\output\OIR_5.mxml.gz,Size3/OIR_5,5,Fixed,4000,Fixed,True,2000,3,6
